claim_id,claim
0,Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.
1,A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.
2,"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”"
3,Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”
4,Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.
5,“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”
6,“The average American worker has already seen a $500 wage increase this year.”
7,Every school vaccine mandate “drips” with “slavery.”
8,"U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”"
9,President Donald Trump’s “official schedule was suddenly suspended.”
10,The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.
11,A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”
12,"Following the passage of a 2022 gun safety law, mass shootings “began to drop.”"
13,"In Washington, D.C., “We always have a murder a week.”"
14,"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation."""
15,An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.
16,"TikTok videos show police clearing out homeless encampments in Washington, D.C."
17,“Democrats have voted for national independent redistricting. Republicans have not.”
18,"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”"
19,"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night."""
20,“We are now the only country in the world that uses mail-in voting.”
21,"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”."
22,“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”
23,"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”"
24,The official U.S. government website erased sections of the U.S. Constitution without amending it.
25,"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah."
26,“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”
27,"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah."
28,Texas Republicans held one hearing on flood response but eight hearings on redistricting
29,"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election."
30,"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion."
31,"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”"
32,“Guns are the leading cause of death for children in North Carolina.”
33,“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”
34,"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings."
35,“We gave $60 million two weeks ago” for food aid to Gaza.
36,Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”
37,“There is no starvation in Gaza.”
38,Democrats paid Beyoncé $11 million for an endorsement.
39,The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”
40,"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”"
41,"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”"
42,"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”"
43,"Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes."
44,Tariffs are “going to pay off our deficit.”
45,"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton."
46,“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.
47,“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”
48,The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”
49,"El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”."
50,"""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean."
51,"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”"
52,There is “zero impact” from Alligator Alcatraz on the Florida Everglades.
53,"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”"
54,Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”
55,"China doesn’t “have a lot of wind farms. … Very, very few.”"
56,Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”
57,"President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”"
58,The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.
59,“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.
60,“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.
61,"Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU."
62,President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.
63,"A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”"
64,Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.
65,"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’"""
66,"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined."""
67,"“A lot of times, health care comes with a job.”"
68,“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”
69,New York City mayoral candidate Zohran Mamdani is a communist.
70,“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”
71,"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”"
72,The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”
73,Video shows protesters “outraged” over U.S. attacks in Iran.
74,Video shows a woman wearing a rainbow hijab and a bomb vest who filmed her visit to Iran.
75,"Photo shows Israeli pilot Sarah Ahronot, who was captured by Iran."
76,Video shows “massive fire after Iranian missile made impact in Tel Aviv” in June 2025.
77,“Governor Tim Walz has DELETED every post he made praising Minnesota (assassin) Vance Boelter.”
78,Image shows accused shooter Vance Boelter wearing a “Resist” shirt.
79,"Image shows an antifa debit card that can “automatically be funded after looting, rioting and gang stalking.”"
80,Video shows the New York Mets “showed a Pride flag instead of the American flag” during the national anthem.
81,The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.
82,"California has lower homicide rates than Alabama, Arkansas and Oklahoma."
83,Video shows Marine Corps attack helicopter over Los Angeles in response to immigration raid protests.
84,Photos show Travis Kelce and Taylor Swift participated in a “No Kings” rally.
