claim,evidence,label
“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,"The law allows foreign doctors a pathway to practice in North Carolina, but only with a partial license. | The law requires applicants to be eligible for certification from the Educational Commission for Foreign Medical Graduates. | As part of that, applicants must pass Step 1 and Step 2 of the United States Medical Licensing Examination.",uncertain
Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Whatley cited criminal justice reforms recommended by a task force Cooper created in 2020. | The Charlotte stabbing suspect was released from prison before the task force published its recommendations. | There’s also no evidence the recommendations played a role in the suspect’s release from jail earlier this year.,refutes
A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,"Amazon said the Sept. 9 publication date on an e-book about the assassination of conservative activist Charlie Kirk was a mistake caused by a technical error. | The book, which was generated by artificial intelligence, was published late afternoon Sept. 10, after Kirk was shot.",refutes
"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”","Wind energy infrastructure doesn’t produce power if the air isn’t moving, and solar doesn’t generate power if the sun’s not out. But that doesn’t mean that either source of energy is ""worthless"" during those periods. | Once produced, energy generated from wind and solar can be stored in batteries or in larger pieces of infrastructure such as reservoirs. | Even without storage, wind or solar power is able to handle electricity demand in real time, adding to the power mix in states as diverse as Texas, California and Iowa.",refutes
Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,"President Donald Trump has warned Chicago will face a surge in immigration raids, but this video of salt trucks in the streets doesn’t reveal a city plot to stop them. | A Chicago Department of Streets and Sanitation spokesperson said the department deployed the salt trucks to support public safety efforts related to a planned protest and Taste of Chicago, a culinary event. | The spokesperson said this is a routine practice.",refutes
Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,"Un grupo que investiga la inmigración estimó que la población de inmigrantes que se encuentran ilegalmente en EE.UU. disminuyó por 1.6 millones en 2025, pero la estimación tiene limitaciones. | Se basa en una encuesta gubernamental con un tamaño de muestra pequeño y un amplio margen de error. No solo incluye a inmigrantes que abandonaron el país voluntariamente. También incluye a inmigrantes deportados, fallecidos, y aquellos cuyo estatus cambió, por ejemplo, al obtener asilo. | Otros grupos que estiman la población de inmigrantes en Estados Unidos dijeron que los datos de la encuesta parecen indicar una disminución de la población inmigrante, pero es muy pronto para saber en qué medida.",supports
“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,"The prices of some food items, such as eggs, bread and fruit, have declined on President Donald Trump’s watch, and overall energy prices have fallen 2.6%. But many food and energy items have seen price increases. | Between December 2024 and July 2025, groceries used at home rose by just under 1%. Individual items such as ground beef, bacon, other meats, coffee, dairy products and sugar and sweets rose between 0.5% and 11.6%. | Electricity costs have risen during Trump’s tenure. Gasoline prices are about the same since Trump took office. Most of the decline in gasoline prices since their $4 to $5 per gallon levels in 2022 came under former President Joe Biden.",supports
“The average American worker has already seen a $500 wage increase this year.”,"The White House cited a quarterly set of federal government wage statistics. This shows that median wages rose by a cumulative $546 during the first two quarters of 2025. | A different set of statistics — which economists consider more accurate because they come from a much larger sample — shows a significantly smaller rise for the average U.S. worker’s pay over that period, about $121. | When inflation is factored in, workers’ take-home pay rose by even less — about $26 during the first six months of 2025.",supports
“Everybody can get” the COVID-19 vaccine.,"The Food and Drug Administration recently approved COVID-19 vaccines for anyone age 65 and older and any person 6 months and older who has at least one underlying health condition that increases their risk of severe COVID-19 infection. | People who are not in those categories aren’t banned from getting the shot, but they are likely to face additional barriers, such as getting a doctor’s prescription or paying for the vaccine out of pocket. | A Centers for Disease Control and Prevention vaccine panel has not issued recommendations for the vaccine. Its guidance may affect insurance coverage and over-the-counter access.",uncertain
Every school vaccine mandate “drips” with “slavery.”,Florida has exemptions from vaccine participation. Enslaved people had no exemptions.,refutes
