claim,label_multi,label_bin,speaker,date_parsed
Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,refutes,0,Michael Whatley,2025-09-12
A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,refutes,0,X posts,2025-09-12
"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",refutes,0,U.S. Energy Department,2025-09-09
Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,refutes,0,TikTok posts,2025-09-08
Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,supports,1,Kristi Noem,2025-09-05
“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,supports,1,Donald Trump,2025-09-05
“The average American worker has already seen a $500 wage increase this year.”,supports,1,Donald Trump,2025-09-05
Every school vaccine mandate “drips” with “slavery.”,refutes,0,Joseph Ladapo,2025-09-04
"U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",supports,1,Kristi Noem,2025-09-02
President Donald Trump’s “official schedule was suddenly suspended.”,refutes,0,X posts,2025-09-02
The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,refutes,0,James Uthmeier,2025-09-02
A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,refutes,0,X posts,2025-08-29
"Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",supports,1,Chris Murphy,2025-08-28
"In Washington, D.C., “We always have a murder a week.”",refutes,0,Donald Trump,2025-08-27
"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",refutes,0,JD Vance,2025-08-26
An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,refutes,0,X posts,2025-08-25
"TikTok videos show police clearing out homeless encampments in Washington, D.C.",refutes,0,TikTok posts,2025-08-22
“Democrats have voted for national independent redistricting. Republicans have not.”,supports,1,Gavin Newsom,2025-08-21
"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”",refutes,0,Donald Trump,2025-08-20
"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",refutes,0,Donald Trump,2025-08-19
“We are now the only country in the world that uses mail-in voting.”,refutes,0,Donald Trump,2025-08-18
"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.",refutes,0,TikTok posts,2025-08-15
“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,supports,1,Americans for Prosperity,2025-08-15
"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",refutes,0,Donald Trump,2025-08-12
The official U.S. government website erased sections of the U.S. Constitution without amending it.,refutes,0,Threads posts,2025-08-07
"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",refutes,0,TikTok posts,2025-08-07
“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,refutes,0,John Blust,2025-08-07
